,importance
VSA_EState4,0.018396058933627283
BCUT2D_CHGLO,0.01785996114044045
VSA_EState8,0.017356042819885748
BCUT2D_LOGPHI,0.016699795732908407
MaxAbsEStateIndex,0.015164364605039457
SPS,0.014478706297390564
MaxEStateIndex,0.014285588737632103
BCUT2D_MRHI,0.01374339536633441
MinEStateIndex,0.013709705685596194
BCUT2D_MRLOW,0.013701680790956804
qed,0.013606295732691398
VSA_EState6,0.013351601220460856
VSA_EState7,0.013298075032603062
BCUT2D_CHGHI,0.01306744198300608
FractionCSP3,0.013049314708966316
EState_VSA4,0.01291013457609427
EState_VSA8,0.01276554927212132
BCUT2D_LOGPLOW,0.012714516565508385
BCUT2D_MWLOW,0.011956695978948249
SMR_VSA7,0.011765798110523007
FpDensityMorgan1,0.011680734487733425
AvgIpc,0.011515836928074537
HallKierAlpha,0.011435563700213315
MaxPartialCharge,0.011363868795609022
MaxAbsPartialCharge,0.011129741582609874
FpDensityMorgan2,0.011016711246145054
BertzCT,0.010962132196712484
Chi2v,0.01088854826939162
SMR_VSA5,0.010759920264519987
SlogP_VSA6,0.010759122360427203
